,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,493,492,565,568,912.0,912.0,72,76,144.0,152.0,,,8.0,8.0,5.263157894736842
GDN0005,Pause,1,1,1,808,808,1252,1252,949,948,1024,1025,874.0,874.0,75,77,150.0,154.0,,,4.0,4.0,2.5974025974025974
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1386,1386,1460,1456,864.0,864.0,74,70,148.0,140.0,,,-8.0,8.0,5.714285714285714
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1819,1817,1889,1888,858.0,858.0,70,71,140.0,142.0,,,2.0,2.0,1.4084507042253522
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2247,2246,2318,2293,936.0,936.0,71,47,142.0,94.0,,,-48.0,48.0,51.06382978723404
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2715,2714,2788,2780,928.0,928.0,73,66,146.0,132.0,,,-14.0,14.0,10.606060606060606
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3179,3178,3253,3254,840.0,840.0,74,76,148.0,152.0,,,4.0,4.0,2.631578947368421
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3599,3597,3678,3674,836.0,836.0,79,77,158.0,154.0,,,-4.0,4.0,2.5974025974025974
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4017,4016,4090,4093,838.0,838.0,73,77,146.0,154.0,,,8.0,8.0,5.194805194805195
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4436,4435,4510,4512,846.0,846.0,74,77,148.0,154.0,,,6.0,6.0,3.896103896103896
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4860,4859,4937,4915,838.0,838.0,77,56,154.0,112.0,,,-42.0,42.0,37.5
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5279,5278,5350,5337,842.0,842.0,71,59,142.0,118.0,,,-24.0,24.0,20.33898305084746
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6153,6152,6223,6223,948.0,948.0,70,71,140.0,142.0,,,2.0,2.0,1.4084507042253522
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6628,6627,6697,6682,948.0,948.0,69,55,138.0,110.0,,,-28.0,28.0,25.454545454545453
