,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,493,492,600,568,912.0,107,76,214.0,152,,,-62.0,62.0,40.78947368421053
GDN0005,Pause,1,1,1,808,808,1252,1252,949,948,1031,1025,874.0,82,77,164.0,154,,,-10.0,10.0,6.493506493506493
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1386,1386,1462,1456,864.0,76,70,152.0,140,,,-12.0,12.0,8.571428571428571
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1819,1817,1899,1888,858.0,80,71,160.0,142,,,-18.0,18.0,12.676056338028168
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2247,2246,2294,2293,936.0,47,47,94.0,94,,,0.0,0.0,0.0
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2715,2714,2778,2780,928.0,63,66,126.0,132,,,6.0,6.0,4.545454545454546
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3179,3178,3261,3254,840.0,82,76,164.0,152,,,-12.0,12.0,7.894736842105263
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3599,3597,3675,3674,836.0,76,77,152.0,154,,,2.0,2.0,1.2987012987012987
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4017,4016,4054,4093,838.0,37,77,74.0,154,,,80.0,80.0,51.94805194805194
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4436,4435,4482,4512,846.0,46,77,92.0,154,,,62.0,62.0,40.25974025974026
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4860,4859,4917,4915,838.0,57,56,114.0,112,,,-2.0,2.0,1.7857142857142856
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5279,5278,5337,5337,842.0,58,59,116.0,118,,,2.0,2.0,1.694915254237288
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6153,6152,6227,6223,948.0,74,71,148.0,142,,,-6.0,6.0,4.225352112676056
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6628,6627,6678,6682,948.0,50,55,100.0,110,,,10.0,10.0,9.090909090909092
GDN0005,Pause,15,15,15,6954,6954,7416,7416,7101,7100,7142,7145,912.0,41,45,82.0,90,,,8.0,8.0,8.88888888888889
GDN0005,Pause,16,16,16,7416,7416,7852,7852,7557,7556,7606,7609,850.0,49,53,98.0,106,,,8.0,8.0,7.547169811320755
GDN0005,Pause,17,17,17,7852,7852,8262,8262,7982,7981,8040,8040,804.0,58,59,116.0,118,,,2.0,2.0,1.694915254237288
GDN0005,Pause,18,18,18,8262,8262,8657,8657,8384,8383,8446,8447,782.0,62,64,124.0,128,,,4.0,4.0,3.125
GDN0005,Pause,19,19,19,8657,8657,9047,9047,8775,8774,8803,8828,778.0,28,54,56.0,108,,,52.0,52.0,48.148148148148145
GDN0005,Pause,20,20,20,9047,9047,9445,9445,9164,9163,9200,9201,806.0,36,38,72.0,76,,,4.0,4.0,5.263157894736842
GDN0005,Pause,21,21,21,9445,9445,9854,9854,9567,9566,9645,9643,824.0,78,77,156.0,154,,,-2.0,2.0,1.2987012987012987
GDN0005,Pause,22,22,22,9854,9854,10259,10259,9979,9979,10062,10057,804.0,83,78,166.0,156,,,-10.0,10.0,6.41025641025641
GDN0005,Pause,23,23,23,10259,10259,10683,10683,10381,10380,10462,10459,872.0,81,79,162.0,158,,,-4.0,4.0,2.5316455696202533
GDN0005,Pause,24,24,24,10683,10683,11132,11132,10817,10816,10894,10880,912.0,77,64,154.0,128,,,-26.0,26.0,20.3125
GDN0005,Pause,25,25,25,11132,11132,11590,11590,11273,11272,11347,11339,916.0,74,67,148.0,134,,,-14.0,14.0,10.44776119402985
GDN0005,Pause,26,26,26,11590,11590,12042,12042,11731,11730,11791,11797,900.0,60,67,120.0,134,,,14.0,14.0,10.44776119402985
GDN0005,Pause,27,27,27,12042,12042,12515,12515,12181,12180,12246,12249,968.0,65,69,130.0,138,,,8.0,8.0,5.797101449275362
GDN0005,Pause,28,28,28,12515,12515,13015,13015,12666,12665,12742,12737,1018.0,76,72,152.0,144,,,-8.0,8.0,5.555555555555555
GDN0005,Pause,29,29,29,13015,13015,13517,13517,13174,13173,13241,13241,996.0,67,68,134.0,136,,,2.0,2.0,1.4705882352941175
GDN0005,Pause,30,30,30,13517,13517,14013,14013,13672,13671,13726,13728,990.0,54,57,108.0,114,,,6.0,6.0,5.263157894736842
GDN0005,Pause,31,31,31,14013,14013,14501,14501,14167,14166,14223,14235,968.0,56,69,112.0,138,,,26.0,26.0,18.84057971014493
GDN0005,Pause,32,32,32,14501,14501,14981,14981,14651,14651,14731,14725,958.0,80,74,160.0,148,,,-12.0,12.0,8.108108108108109
GDN0005,Pause,33,33,33,14981,14981,15460,15460,15130,15129,15184,15187,956.0,54,58,108.0,116,,,8.0,8.0,6.896551724137931
GDN0005,Pause,34,34,34,15460,15460,15925,15925,15608,15607,15665,15666,916.0,57,59,114.0,118,,,4.0,4.0,3.389830508474576
GDN0005,Pause,35,35,35,15925,15925,16379,16379,16067,16066,16120,16121,906.0,53,55,106.0,110,,,4.0,4.0,3.6363636363636362
GDN0005,Pause,36,36,36,16379,16379,16836,16836,16519,16518,16587,16577,916.0,68,59,136.0,118,,,-18.0,18.0,15.254237288135593
GDN0005,Pause,37,37,37,16836,16836,17310,17310,16978,16977,17045,17051,966.0,67,74,134.0,148,,,14.0,14.0,9.45945945945946
GDN0005,Pause,38,38,38,17310,17310,17802,17802,17460,17459,17530,17534,994.0,70,75,140.0,150,,,10.0,10.0,6.666666666666667
GDN0005,Pause,39,39,39,17802,17802,18294,18294,17957,17956,18009,18011,980.0,52,55,104.0,110,,,6.0,6.0,5.454545454545454
