,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,495,492,565,568,912.0,912.0,70,76,140.0,152.0,,,12.0,12.0,7.894736842105263
GDN0005,Pause,1,1,1,808,808,1252,1252,951,948,1023,1025,874.0,874.0,72,77,144.0,154.0,,,10.0,10.0,6.493506493506493
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1388,1386,1460,1456,864.0,864.0,72,70,144.0,140.0,,,-4.0,4.0,2.857142857142857
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1820,1817,1889,1888,858.0,858.0,69,71,138.0,142.0,,,4.0,4.0,2.8169014084507045
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2249,2246,2318,2293,936.0,936.0,69,47,138.0,94.0,,,-44.0,44.0,46.808510638297875
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2717,2714,2788,2780,928.0,928.0,71,66,142.0,132.0,,,-10.0,10.0,7.575757575757576
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3181,3178,3253,3254,840.0,840.0,72,76,144.0,152.0,,,8.0,8.0,5.263157894736842
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3601,3597,3676,3674,836.0,836.0,75,77,150.0,154.0,,,4.0,4.0,2.5974025974025974
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4019,4016,4090,4093,838.0,838.0,71,77,142.0,154.0,,,12.0,12.0,7.792207792207792
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4438,4435,4510,4512,846.0,846.0,72,77,144.0,154.0,,,10.0,10.0,6.493506493506493
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4861,4859,4935,4915,838.0,838.0,74,56,148.0,112.0,,,-36.0,36.0,32.142857142857146
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5280,5278,5350,5337,842.0,842.0,70,59,140.0,118.0,,,-22.0,22.0,18.64406779661017
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6155,6152,6223,6223,948.0,948.0,68,71,136.0,142.0,,,6.0,6.0,4.225352112676056
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6629,6627,6697,6682,948.0,948.0,68,55,136.0,110.0,,,-26.0,26.0,23.636363636363637
