,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,491,492,573,568,912.0,82,76,164.0,152,,,-12.0,12.0,7.894736842105263
GDN0005,Pause,1,1,1,808,808,1252,1252,947,948,1032,1025,874.0,85,77,170.0,154,,,-16.0,16.0,10.38961038961039
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1384,1386,1462,1456,864.0,78,70,156.0,140,,,-16.0,16.0,11.428571428571429
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1816,1817,1899,1888,858.0,83,71,166.0,142,,,-24.0,24.0,16.901408450704224
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2245,2246,2330,2293,936.0,85,47,170.0,94,,,-76.0,76.0,80.85106382978722
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2713,2714,2790,2780,928.0,77,66,154.0,132,,,-22.0,22.0,16.666666666666664
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3177,3178,3261,3254,840.0,84,76,168.0,152,,,-16.0,16.0,10.526315789473683
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3597,3597,3681,3674,836.0,84,77,168.0,154,,,-14.0,14.0,9.090909090909092
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4015,4016,4111,4093,838.0,96,77,192.0,154,,,-38.0,38.0,24.675324675324674
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4434,4435,4525,4512,846.0,91,77,182.0,154,,,-28.0,28.0,18.181818181818183
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4857,4859,4946,4915,838.0,89,56,178.0,112,,,-66.0,66.0,58.92857142857143
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5276,5278,5360,5337,842.0,84,59,168.0,118,,,-50.0,50.0,42.3728813559322
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6151,6152,6226,6223,948.0,75,71,150.0,142,,,-8.0,8.0,5.633802816901409
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6625,6627,6715,6682,948.0,90,55,180.0,110,,,-70.0,70.0,63.63636363636363
GDN0005,Pause,15,15,15,6954,6954,7416,7416,7099,7100,7189,7145,912.0,90,45,180.0,90,,,-90.0,90.0,100.0
GDN0005,Pause,16,16,16,7416,7416,7852,7852,7555,7556,7632,7609,850.0,77,53,154.0,106,,,-48.0,48.0,45.28301886792453
GDN0005,Pause,17,17,17,7852,7852,8262,8262,7980,7981,8055,8040,804.0,75,59,150.0,118,,,-32.0,32.0,27.11864406779661
GDN0005,Pause,18,18,18,8262,8262,8657,8657,8382,8383,8456,8447,782.0,74,64,148.0,128,,,-20.0,20.0,15.625
GDN0005,Pause,19,19,19,8657,8657,9047,9047,8773,8774,8850,8828,778.0,77,54,154.0,108,,,-46.0,46.0,42.592592592592595
GDN0005,Pause,20,20,20,9047,9047,9445,9445,9162,9163,9236,9201,806.0,74,38,148.0,76,,,-72.0,72.0,94.73684210526315
GDN0005,Pause,21,21,21,9445,9445,9854,9854,9565,9566,9644,9643,824.0,79,77,158.0,154,,,-4.0,4.0,2.5974025974025974
GDN0005,Pause,22,22,22,9854,9854,10259,10259,9977,9979,10062,10057,804.0,85,78,170.0,156,,,-14.0,14.0,8.974358974358974
GDN0005,Pause,23,23,23,10259,10259,10683,10683,10379,10380,10461,10459,872.0,82,79,164.0,158,,,-6.0,6.0,3.79746835443038
GDN0005,Pause,24,24,24,10683,10683,11132,11132,10815,10816,10896,10880,912.0,81,64,162.0,128,,,-34.0,34.0,26.5625
GDN0005,Pause,25,25,25,11132,11132,11590,11590,11271,11272,11347,11339,916.0,76,67,152.0,134,,,-18.0,18.0,13.432835820895523
GDN0005,Pause,26,26,26,11590,11590,12042,12042,11729,11730,11803,11797,900.0,74,67,148.0,134,,,-14.0,14.0,10.44776119402985
GDN0005,Pause,27,27,27,12042,12042,12515,12515,12179,12180,12265,12249,968.0,86,69,172.0,138,,,-34.0,34.0,24.637681159420293
GDN0005,Pause,28,28,28,12515,12515,13015,13015,12663,12665,12742,12737,1018.0,79,72,158.0,144,,,-14.0,14.0,9.722222222222223
GDN0005,Pause,29,29,29,13015,13015,13517,13517,13172,13173,13252,13241,996.0,80,68,160.0,136,,,-24.0,24.0,17.647058823529413
GDN0005,Pause,30,30,30,13517,13517,14013,14013,13670,13671,13752,13728,990.0,82,57,164.0,114,,,-50.0,50.0,43.859649122807014
GDN0005,Pause,31,31,31,14013,14013,14501,14501,14165,14166,14245,14235,968.0,80,69,160.0,138,,,-22.0,22.0,15.942028985507244
GDN0005,Pause,32,32,32,14501,14501,14981,14981,14649,14651,14731,14725,958.0,82,74,164.0,148,,,-16.0,16.0,10.81081081081081
GDN0005,Pause,33,33,33,14981,14981,15460,15460,15128,15129,15209,15187,956.0,81,58,162.0,116,,,-46.0,46.0,39.6551724137931
GDN0005,Pause,34,34,34,15460,15460,15925,15925,15606,15607,15687,15666,916.0,81,59,162.0,118,,,-44.0,44.0,37.28813559322034
GDN0005,Pause,35,35,35,15925,15925,16379,16379,16064,16066,16145,16121,906.0,81,55,162.0,110,,,-52.0,52.0,47.27272727272727
GDN0005,Pause,36,36,36,16379,16379,16836,16836,16517,16518,16598,16577,916.0,81,59,162.0,118,,,-44.0,44.0,37.28813559322034
GDN0005,Pause,37,37,37,16836,16836,17310,17310,16975,16977,17060,17051,966.0,85,74,170.0,148,,,-22.0,22.0,14.864864864864865
GDN0005,Pause,38,38,38,17310,17310,17802,17802,17458,17459,17541,17534,994.0,83,75,166.0,150,,,-16.0,16.0,10.666666666666668
GDN0005,Pause,39,39,39,17802,17802,18294,18294,17955,17956,18042,18011,980.0,87,55,174.0,110,,,-64.0,64.0,58.18181818181818
