,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,492,492,600,568,912.0,912.0,108,76,216.0,152.0,,,-64.0,64.0,42.10526315789473
GDN0005,Pause,1,1,1,808,808,1252,1252,948,948,1031,1025,874.0,874.0,83,77,166.0,154.0,,,-12.0,12.0,7.792207792207792
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1386,1386,1462,1456,864.0,864.0,76,70,152.0,140.0,,,-12.0,12.0,8.571428571428571
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1817,1817,1899,1888,858.0,858.0,82,71,164.0,142.0,,,-22.0,22.0,15.492957746478872
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2246,2246,2294,2293,936.0,936.0,48,47,96.0,94.0,,,-2.0,2.0,2.127659574468085
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2714,2714,2778,2780,928.0,928.0,64,66,128.0,132.0,,,4.0,4.0,3.0303030303030303
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3178,3178,3261,3254,840.0,840.0,83,76,166.0,152.0,,,-14.0,14.0,9.210526315789473
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3597,3597,3675,3674,836.0,836.0,78,77,156.0,154.0,,,-2.0,2.0,1.2987012987012987
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4016,4016,4054,4093,838.0,838.0,38,77,76.0,154.0,,,78.0,78.0,50.649350649350644
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4435,4435,4482,4512,846.0,846.0,47,77,94.0,154.0,,,60.0,60.0,38.961038961038966
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4859,4859,4886,4915,838.0,838.0,27,56,54.0,112.0,,,58.0,58.0,51.78571428571429
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5278,5278,5337,5337,842.0,842.0,59,59,118.0,118.0,,,0.0,0.0,0.0
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6152,6152,6227,6223,948.0,948.0,75,71,150.0,142.0,,,-8.0,8.0,5.633802816901409
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6627,6627,6678,6682,948.0,948.0,51,55,102.0,110.0,,,8.0,8.0,7.2727272727272725
