,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,561,567,619,634,590.0,58,67,58.0,67,,,9.0,9.0,13.432835820895523
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1151,1156,1198,1206,581.0,47,50,47.0,50,,,3.0,3.0,6.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1732,1735,1777,1811,557.0,45,76,45.0,76,,,31.0,31.0,40.78947368421053
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2289,2291,2331,2382,546.0,42,91,42.0,91,,,49.0,49.0,53.84615384615385
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2835,2846,2924,2926,541.0,89,80,89.0,80,,,-9.0,9.0,11.25
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3376,3378,3441,3456,543.0,65,78,65.0,78,,,13.0,13.0,16.666666666666664
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3919,3923,3971,3996,546.0,52,73,52.0,73,,,21.0,21.0,28.767123287671232
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4465,4469,4508,4542,550.0,43,73,43.0,73,,,30.0,30.0,41.0958904109589
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5015,5022,5081,5102,537.0,66,80,66.0,80,,,14.0,14.0,17.5
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5552,5553,5641,5637,540.0,89,84,89.0,84,,,-5.0,5.0,5.952380952380952
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6092,6094,6182,6183,541.0,90,89,90.0,89,,,-1.0,1.0,1.1235955056179776
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6633,6636,6702,6709,552.0,69,73,69.0,73,,,4.0,4.0,5.47945205479452
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7185,7190,7249,7256,569.0,64,66,64.0,66,,,2.0,2.0,3.0303030303030303
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7754,7757,7817,7826,580.0,63,69,63.0,69,,,6.0,6.0,8.695652173913043
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8334,8351,8394,8406,560.0,60,55,60.0,55,,,-5.0,5.0,9.090909090909092
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8894,8897,8973,8975,556.0,79,78,79.0,78,,,-1.0,1.0,1.282051282051282
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9450,9453,9537,9537,560.0,87,84,87.0,84,,,-3.0,3.0,3.571428571428571
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10010,10013,10072,10096,565.0,62,83,62.0,83,,,21.0,21.0,25.301204819277107
VP_001,tsst,Prep,18,18,18,10417,10417,10988,10988,10575,10590,10638,10651,574.0,63,61,63.0,61,,,-2.0,2.0,3.278688524590164
VP_001,tsst,Prep,19,19,19,10988,10988,11567,11567,11149,11160,11202,11228,582.0,53,68,53.0,68,,,15.0,15.0,22.058823529411764
VP_001,tsst,Prep,20,20,20,11567,11567,12135,12135,11731,11742,11795,11808,560.0,64,66,64.0,66,,,2.0,2.0,3.0303030303030303
VP_001,tsst,Prep,21,21,21,12135,12135,12689,12689,12291,12296,12378,12387,551.0,87,91,87.0,91,,,4.0,4.0,4.395604395604396
VP_001,tsst,Prep,22,22,22,12689,12689,13239,13239,12842,12858,12935,12935,549.0,93,77,93.0,77,,,-16.0,16.0,20.77922077922078
VP_001,tsst,Prep,23,23,23,13239,13239,13788,13789,13391,13393,13457,13469,550.0,66,76,66.0,76,,,10.0,10.0,13.157894736842104
VP_001,tsst,Prep,24,24,24,13788,13789,14338,14339,13941,13945,14011,14015,550.0,70,70,70.0,70,,,0.0,0.0,0.0
