,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,544,567,670,634,590.0,126,67,126.0,67,,,-59.0,59.0,88.05970149253731
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1133,1156,1244,1206,581.0,111,50,111.0,50,,,-61.0,61.0,122.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1735,1735,1840,1811,557.0,105,76,105.0,76,,,-29.0,29.0,38.15789473684211
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2272,2291,2402,2382,546.0,130,91,130.0,91,,,-39.0,39.0,42.857142857142854
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2844,2846,2945,2926,541.0,101,80,101.0,80,,,-21.0,21.0,26.25
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3378,3487,3456,543.0,109,78,109.0,78,,,-31.0,31.0,39.743589743589745
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3901,3923,4029,3996,546.0,128,73,128.0,73,,,-55.0,55.0,75.34246575342466
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4447,4469,4575,4542,550.0,128,73,128.0,73,,,-55.0,55.0,75.34246575342466
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,4996,5022,5127,5102,537.0,131,80,131.0,80,,,-51.0,51.0,63.74999999999999
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5535,5553,5665,5637,540.0,130,84,130.0,84,,,-46.0,46.0,54.761904761904766
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6075,6094,6202,6183,541.0,127,89,127.0,89,,,-38.0,38.0,42.69662921348314
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6617,6636,6746,6709,552.0,129,73,129.0,73,,,-56.0,56.0,76.71232876712328
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7168,7190,7296,7256,569.0,128,66,128.0,66,,,-62.0,62.0,93.93939393939394
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7736,7757,7864,7826,580.0,128,69,128.0,69,,,-59.0,59.0,85.5072463768116
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8318,8351,8448,8406,560.0,130,55,130.0,55,,,-75.0,75.0,136.36363636363635
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8872,8897,9007,8975,556.0,135,78,135.0,78,,,-57.0,57.0,73.07692307692307
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9433,9453,9560,9537,560.0,127,84,127.0,84,,,-43.0,43.0,51.19047619047619
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,9993,10013,10119,10096,565.0,126,83,126.0,83,,,-43.0,43.0,51.80722891566265
VP_001,tsst,Prep,18,18,18,10417,10417,10988,10988,10560,10590,10684,10651,574.0,124,61,124.0,61,,,-63.0,63.0,103.27868852459017
VP_001,tsst,Prep,19,19,19,10988,10988,11567,11567,11131,11160,11258,11228,582.0,127,68,127.0,68,,,-59.0,59.0,86.76470588235294
VP_001,tsst,Prep,20,20,20,11567,11567,12135,12135,11714,11742,11842,11808,560.0,128,66,128.0,66,,,-62.0,62.0,93.93939393939394
VP_001,tsst,Prep,21,21,21,12135,12135,12689,12689,12274,12296,12403,12387,551.0,129,91,129.0,91,,,-38.0,38.0,41.75824175824176
VP_001,tsst,Prep,22,22,22,12689,12689,13239,13239,12823,12858,12952,12935,549.0,129,77,129.0,77,,,-52.0,52.0,67.53246753246754
VP_001,tsst,Prep,23,23,23,13239,13239,13788,13789,13375,13393,13499,13469,550.0,124,76,124.0,76,,,-48.0,48.0,63.1578947368421
VP_001,tsst,Prep,24,24,24,13788,13789,14338,14339,13923,13945,14051,14015,550.0,128,70,128.0,70,,,-58.0,58.0,82.85714285714286
