,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,561,567,634,634,590.0,73,67,73.0,67,,,-6.0,6.0,8.955223880597014
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1151,1156,1206,1206,581.0,55,50,55.0,50,,,-5.0,5.0,10.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1732,1735,1811,1811,557.0,79,76,79.0,76,,,-3.0,3.0,3.9473684210526314
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2289,2291,2382,2382,546.0,93,91,93.0,91,,,-2.0,2.0,2.197802197802198
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2835,2846,2926,2926,541.0,91,80,91.0,80,,,-11.0,11.0,13.750000000000002
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3376,3378,3456,3456,543.0,80,78,80.0,78,,,-2.0,2.0,2.564102564102564
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3919,3923,3996,3996,546.0,77,73,77.0,73,,,-4.0,4.0,5.47945205479452
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4465,4469,4542,4542,550.0,77,73,77.0,73,,,-4.0,4.0,5.47945205479452
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5015,5022,5102,5102,537.0,87,80,87.0,80,,,-7.0,7.0,8.75
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5552,5553,5637,5637,540.0,85,84,85.0,84,,,-1.0,1.0,1.1904761904761905
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6092,6094,6183,6183,541.0,91,89,91.0,89,,,-2.0,2.0,2.247191011235955
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6633,6636,6709,6709,552.0,76,73,76.0,73,,,-3.0,3.0,4.10958904109589
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7185,7190,7256,7256,569.0,71,66,71.0,66,,,-5.0,5.0,7.575757575757576
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7754,7757,7826,7826,580.0,72,69,72.0,69,,,-3.0,3.0,4.3478260869565215
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8334,8351,8406,8406,560.0,72,55,72.0,55,,,-17.0,17.0,30.909090909090907
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8894,8897,8975,8975,556.0,81,78,81.0,78,,,-3.0,3.0,3.8461538461538463
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9450,9453,9537,9537,560.0,87,84,87.0,84,,,-3.0,3.0,3.571428571428571
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10010,10013,10096,10096,565.0,86,83,86.0,83,,,-3.0,3.0,3.614457831325301
VP_001,tsst,Prep,18,18,18,10417,10417,10988,10988,10575,10590,10651,10651,574.0,76,61,76.0,61,,,-15.0,15.0,24.59016393442623
VP_001,tsst,Prep,19,19,19,10988,10988,11567,11567,11149,11160,11228,11228,582.0,79,68,79.0,68,,,-11.0,11.0,16.176470588235293
VP_001,tsst,Prep,20,20,20,11567,11567,12135,12135,11731,11742,11808,11808,560.0,77,66,77.0,66,,,-11.0,11.0,16.666666666666664
VP_001,tsst,Prep,21,21,21,12135,12135,12689,12689,12291,12296,12387,12387,551.0,96,91,96.0,91,,,-5.0,5.0,5.4945054945054945
VP_001,tsst,Prep,22,22,22,12689,12689,13239,13239,12842,12858,12935,12935,549.0,93,77,93.0,77,,,-16.0,16.0,20.77922077922078
VP_001,tsst,Prep,23,23,23,13239,13239,13788,13789,13391,13393,13469,13469,550.0,78,76,78.0,76,,,-2.0,2.0,2.631578947368421
VP_001,tsst,Prep,24,24,24,13788,13789,14338,14339,13941,13945,14015,14015,550.0,74,70,74.0,70,,,-4.0,4.0,5.714285714285714
