participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,91.46153846153847,-18.557692307692307,20.403846153846153,33.63590089023219,0.04703806630812826,52,52,0
VP_001,tsst,Pause_1,53.0,96.86666666666666,-43.86666666666667,44.13333333333333,122.32382696494905,-0.09202910573634648,15,15,0
VP_001,tsst,Talk,78.82978723404256,99.36170212765957,-20.53191489361702,24.148936170212767,42.549497048163545,0.24237062292029607,47,47,0
VP_001,tsst,Math,69.41818181818182,91.32727272727273,-21.90909090909091,23.436363636363637,38.015137810133936,-0.13261032817009002,55,55,0
VP_001,tsst,Pause_5,62.5,84.78571428571429,-22.285714285714285,24.857142857142858,49.87024345330568,0.3016923787629705,14,14,0
VP_001,ftsst,Prep,76.06122448979592,100.24489795918367,-24.183673469387756,25.857142857142858,43.934559522835755,0.060856651238686,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,97.46666666666667,-41.8,41.8,76.49716665944568,-0.07924288517503275,15,15,0
VP_001,ftsst,Talk,83.79069767441861,91.67441860465117,-7.883720930232558,23.697674418604652,33.67611756869008,0.38114858385091077,43,43,0
VP_001,ftsst,Math,74.57142857142857,102.26829268292683,-26.634146341463413,31.853658536585368,50.953444712668166,0.202838027569832,42,41,1
VP_001,ftsst,Pause_5,95.23076923076923,104.84615384615384,-9.615384615384615,24.692307692307693,31.18547148151795,-0.16345642501992774,13,13,0
VP_002,tsst,Prep,70.73214285714286,85.91071428571429,-15.178571428571429,15.642857142857142,41.666367126211036,0.1278011662890946,56,56,0
VP_002,tsst,Pause_1,70.45,97.7,-27.25,27.25,45.338724396774914,0.09022849236696832,20,20,0
VP_002,tsst,Talk,61.803030303030305,86.81818181818181,-25.015151515151516,25.28787878787879,48.66909342389953,0.13091198117555106,66,66,0
VP_002,tsst,Math,69.33333333333333,94.8,-25.615384615384617,25.646153846153847,42.92423302653156,-0.27131751271664706,66,65,1
VP_002,tsst,Pause_5,106.27777777777777,92.05555555555556,14.222222222222221,25.666666666666668,23.418927878161163,0.06212882594951414,18,18,0
VP_002,ftsst,Prep,89.53658536585365,94.09756097560975,-4.560975609756097,12.21951219512195,15.506700494295629,0.420394351080281,41,41,0
VP_002,ftsst,Pause_1,60.3,73.1,-12.8,12.8,20.995678560624775,0.680189623270959,20,20,0
VP_002,ftsst,Talk,79.61224489795919,104.28571428571429,-24.6734693877551,28.387755102040817,39.222753025447005,0.20234823457479592,49,49,0
VP_002,ftsst,Math,64.58695652173913,76.95652173913044,-12.369565217391305,19.282608695652176,29.707223148347456,0.2940206315129854,46,46,0
VP_002,ftsst,Pause_5,118.88235294117646,81.05882352941177,37.8235294117647,40.529411764705884,34.15559356549218,0.22947010320042086,17,17,0
VP_003,tsst,Prep,63.75,104.025,-40.275,40.375,67.60538063149768,0.06847220436392527,40,40,0
VP_003,tsst,Pause_1,63.3,92.7,-29.4,29.4,47.07672183162592,-0.06873455768311734,10,10,0
VP_003,tsst,Talk,60.5,99.02173913043478,-38.52173913043478,38.52173913043478,69.82881235808289,0.22521804725305614,46,46,0
VP_003,tsst,Math,69.95348837209302,94.83720930232558,-24.88372093023256,26.372093023255815,39.26437896976236,0.3163819796556215,43,43,0
VP_003,tsst,Pause_5,72.54545454545455,122.0909090909091,-49.54545454545455,49.54545454545455,68.72205590911433,0.8395943299740406,11,11,0
VP_003,ftsst,Prep,86.5,128.14705882352942,-41.64705882352941,41.64705882352941,51.034507233079495,0.0068550902049858385,34,34,0
VP_003,ftsst,Pause_1,87.75,122.66666666666667,-34.916666666666664,34.916666666666664,44.593020244974525,0.493462962752544,12,12,0
VP_003,ftsst,Talk,85.72972972972973,117.94594594594595,-32.21621621621622,32.21621621621622,40.78691523821691,0.2510926489468499,37,37,0
VP_003,ftsst,Math,102.97297297297297,127.94444444444444,-25.27777777777778,26.61111111111111,31.96766650347611,-0.1401737595078583,37,36,1
VP_003,ftsst,Pause_5,101.5,133.9,-32.4,32.4,34.66054029994477,-0.34391145292290715,10,10,0
VP_004,tsst,Prep,89.0,127.20588235294117,-38.205882352941174,38.85294117647059,47.25023428789167,0.00410397518495063,34,34,0
VP_004,tsst,Pause_1,105.6,136.6,-31.0,31.0,31.10856185570102,0.2656172474114348,10,10,0
VP_004,tsst,Talk,80.52631578947368,97.11428571428571,-14.742857142857142,27.82857142857143,39.077823908642934,0.19197725643230437,38,35,3
VP_004,tsst,Math,83.07894736842105,124.1842105263158,-41.10526315789474,41.10526315789474,53.91873984924569,0.4155397739018072,38,38,0
VP_004,tsst,Pause_5,115.0,118.6,-3.6,27.0,23.413407843323192,0.5036918397590415,10,10,0
VP_004,ftsst,Prep,87.5,124.05555555555556,-36.55555555555556,36.888888888888886,45.18285738211188,0.2818554641575213,36,36,0
VP_004,ftsst,Pause_1,77.58333333333333,106.58333333333333,-29.0,40.833333333333336,71.73903130985282,0.007476458974930793,12,12,0
VP_004,ftsst,Talk,118.02941176470588,141.88235294117646,-23.852941176470587,23.852941176470587,22.14484001258328,0.4266039527789336,34,34,0
VP_004,ftsst,Math,102.97222222222223,126.02777777777777,-23.055555555555557,25.166666666666668,32.742619150940804,0.13917778597525834,36,36,0
VP_004,ftsst,Pause_5,115.5,130.7,-15.2,24.2,23.702800786439205,0.19494056028278847,10,10,0
VP_005,tsst,Prep,58.5,81.4,-22.9,23.34,46.586082400803214,0.1917656284562307,50,50,0
VP_005,tsst,Pause_1,46.421052631578945,78.05263157894737,-31.63157894736842,31.63157894736842,73.37851780031798,0.4944534927631687,19,19,0
VP_005,tsst,Talk,58.333333333333336,70.39583333333333,-12.0625,26.520833333333332,53.767635189355474,0.5681750007505509,48,48,0
VP_005,tsst,Math,48.870370370370374,67.42592592592592,-18.555555555555557,26.74074074074074,78.25956275194079,0.21992443488347202,54,54,0
VP_005,tsst,Pause_5,98.66666666666667,94.13333333333334,4.533333333333333,23.066666666666666,29.547122614122202,-0.19409597564759357,15,15,0
VP_005,ftsst,Prep,51.275,93.375,-42.1,46.45,100.83678907250135,-0.6210687029344955,40,40,0
VP_005,ftsst,Pause_1,62.64705882352941,76.58823529411765,-13.941176470588236,14.294117647058824,25.89822105522556,0.5604775599583942,17,17,0
VP_005,ftsst,Talk,79.94,90.34,-10.4,19.92,28.008475400267777,0.42827346340186445,50,50,0
VP_005,ftsst,Math,110.53191489361703,119.02127659574468,-8.48936170212766,15.893617021276595,16.239054830483422,0.4597906003918312,47,47,0
