,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,493,492,568,568,912.0,912.0,75,76,150.0,152.0,,,2.0,2.0,1.3157894736842104
GDN0005,Pause,1,1,1,808,808,1252,1252,949,948,1025,1025,874.0,874.0,76,77,152.0,154.0,,,2.0,2.0,1.2987012987012987
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1386,1386,1456,1456,864.0,864.0,70,70,140.0,140.0,,,0.0,0.0,0.0
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1818,1817,1888,1888,858.0,858.0,70,71,140.0,142.0,,,2.0,2.0,1.4084507042253522
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2247,2246,2293,2293,936.0,936.0,46,47,92.0,94.0,,,2.0,2.0,2.127659574468085
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2715,2714,2780,2780,928.0,928.0,65,66,130.0,132.0,,,2.0,2.0,1.5151515151515151
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3179,3178,3254,3254,840.0,840.0,75,76,150.0,152.0,,,2.0,2.0,1.3157894736842104
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3599,3597,3674,3674,836.0,836.0,75,77,150.0,154.0,,,4.0,4.0,2.5974025974025974
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4017,4016,4093,4093,838.0,838.0,76,77,152.0,154.0,,,2.0,2.0,1.2987012987012987
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4436,4435,4512,4512,846.0,846.0,76,77,152.0,154.0,,,2.0,2.0,1.2987012987012987
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4859,4859,4915,4915,838.0,838.0,56,56,112.0,112.0,,,0.0,0.0,0.0
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5278,5278,5337,5337,842.0,842.0,59,59,118.0,118.0,,,0.0,0.0,0.0
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6153,6152,6223,6223,948.0,948.0,70,71,140.0,142.0,,,2.0,2.0,1.4084507042253522
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6627,6627,6682,6682,948.0,948.0,55,55,110.0,110.0,,,0.0,0.0,0.0
